index,date,weather,prob_of_precip,likely_snow,snow_level,wind,visibility,likely_snow_numeric,forecast_date,endpoint,forecast_type,extracted_date,level_0,max_temp,min_temp,snow_at_1800m,snow_at_1400m,snow_at_1000m,snow_at_1800m_percent,snow_at_1400m_percent,snow_at_1000m_percent
2,"Sunday, 20 Jun",Partly cloudy. Slight (20%) chance of a snow shower. Winds south to southeasterly 25 to 40 km/h decreasing to 15 to 25 km/h during the morning then becoming light during the afternoon.,,,,,,,2021-06-20 00:00:00,ThredboHandler,7-day,2021-06-19 23:16:06.518840,22.0,Max 1°C,Min -2°C,1800m 20%,1400m 10%,1000m 0%,20,10,0
3,"Monday, 21 Jun",Mostly sunny. Light winds.,,,,,,,2021-06-21 00:00:00,ThredboHandler,7-day,2021-06-19 23:16:06.518840,23.0,Max 3°C,Min -5°C,,,,,,
4,"Tuesday, 22 Jun",Partly cloudy. Winds northerly 15 to 25 km/h.,,,,,,,2021-06-22 00:00:00,ThredboHandler,7-day,2021-06-19 23:16:06.518840,24.0,Max 2°C,Min -6°C,,,,,,
5,"Wednesday, 23 Jun","Partly cloudy. Medium (40%) chance of snow showers, most likely later in the day. Winds northerly 25 to 35 km/h.",,,,,,,2021-06-23 00:00:00,ThredboHandler,7-day,2021-06-19 23:16:06.518840,25.0,Max 2°C,Min -4°C,,,,,,
0,"Tomorrow, 18 Jun","Cloudy. The chance of fog early this morning. Very high (95%) chance of snow showers, most likely from late this morning. Winds westerly 15 to 25 km/h turning southerly 35 to 50 km/h in the late afternoon.",,,,,,,2021-06-18 00:00:00,ThredboHandler,7-day,2021-06-19 23:16:06.518840,26.0,Max 0°C,,1800m 90%,1400m 40%,1000m 0%,90,40,0
1,"Saturday, 19 Jun","Cloudy. High (80%) chance of snow showers, most likely in the morning and afternoon. Winds southerly 35 to 55 km/h.",,,,,,,2021-06-19 00:00:00,ThredboHandler,7-day,2021-06-19 23:16:06.518840,27.0,Max 0°C,Min -1°C,1800m 70%,1400m 20%,1000m 0%,70,20,0
2,"Sunday, 20 Jun",Partly cloudy. Slight (20%) chance of a shower or snow. Winds south to southeasterly 25 to 35 km/h tending east to southeasterly and becoming light during the day.,,,,,,,2021-06-20 00:00:00,ThredboHandler,7-day,2021-06-19 23:16:06.518840,28.0,Max 1°C,Min -2°C,1800m 20%,1400m 10%,1000m 0%,20,10,0
3,"Monday, 21 Jun",Mostly sunny. Light winds.,,,,,,,2021-06-21 00:00:00,ThredboHandler,7-day,2021-06-19 23:16:06.518840,29.0,Max 3°C,Min -5°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
4,"Tuesday, 22 Jun",Mostly sunny. Winds northerly 15 to 20 km/h.,,,,,,,2021-06-22 00:00:00,ThredboHandler,7-day,2021-06-19 23:16:06.518840,30.0,Max 3°C,Min -5°C,,,,,,
5,"Wednesday, 23 Jun","Partly cloudy. Slight (30%) chance of a shower or snow, most likely later in the day. Winds northeasterly 15 to 20 km/h turning northerly 15 to 25 km/h during the morning.",,,,,,,2021-06-23 00:00:00,ThredboHandler,7-day,2021-06-19 23:16:06.518840,31.0,Max 3°C,Min -4°C,,,,,,
6,"Thursday, 24 Jun","Cloudy. Very high (90%) chance of snow showers, most likely later in the day. Winds north to northwesterly 15 to 20 km/h turning east to northeasterly 25 to 35 km/h during the day.",,,,,,,2021-06-24 00:00:00,ThredboHandler,7-day,2021-06-19 23:16:06.518840,32.0,Max 3°C,Min -1°C,,,,,,
0,"Tomorrow, 20 Jun",Partly cloudy. Slight (20%) chance of a shower or snow. Winds southeasterly 25 to 40 km/h decreasing to 15 to 25 km/h in the morning then becoming east to southeasterly and light in the middle of the day.,,,,,,,2021-06-20 00:00:00,ThredboHandler,7-day,2021-06-19 23:16:06.518840,33.0,Max 1°C,Min -2°C,1800m 10%,1400m 10%,1000m 0%,10,10,0
1,"Monday, 21 Jun",Mostly sunny. Light winds.,,,,,,,2021-06-21 00:00:00,ThredboHandler,7-day,2021-06-19 23:16:06.518840,34.0,Max 3°C,Min -5°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
2,"Tuesday, 22 Jun",Mostly sunny. Winds northerly 15 to 20 km/h becoming light during the morning then becoming northerly 15 to 25 km/h during the evening.,,,,,,,2021-06-22 00:00:00,ThredboHandler,7-day,2021-06-19 23:16:06.518840,35.0,Max 4°C,Min -4°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
3,"Wednesday, 23 Jun","Partly cloudy. Medium (50%) chance of showers, most likely later in the day. Snow possible above 1900 metres. Winds north to northwesterly 25 to 35 km/h.",,,,,,,2021-06-23 00:00:00,ThredboHandler,7-day,2021-06-19 23:16:06.518840,36.0,Max 3°C,Min -3°C,,,,,,
4,"Thursday, 24 Jun",Cloudy. Very high (90%) chance of showers. Snow falling above 1700 metres. Winds north to northwesterly 25 to 35 km/h.,,,,,,,2021-06-24 00:00:00,ThredboHandler,7-day,2021-06-19 23:16:06.518840,37.0,Max 2°C,Min 0°C,,,,,,
5,"Friday, 25 Jun",Cloudy. Very high (95%) chance of snow showers. Winds northwesterly 25 to 40 km/h.,,,,,,,2021-06-25 00:00:00,ThredboHandler,7-day,2021-06-19 23:16:06.518840,38.0,Max 3°C,Min 0°C,,,,,,
0,"Tomorrow, 20 Jun",Partly cloudy. Slight (20%) chance of a shower or snow. Winds southeasterly 25 to 40 km/h decreasing to 15 to 25 km/h in the morning then becoming east to southeasterly and light in the middle of the day.,,,,,,,2021-06-20 00:00:00,ThredboHandler,7-day,2021-06-19 23:21:44.321522,,Max 1°C,Min -2°C,1800m 10%,1400m 10%,1000m 0%,10,10,0
1,"Monday, 21 Jun",Mostly sunny. Light winds.,,,,,,,2021-06-21 00:00:00,ThredboHandler,7-day,2021-06-19 23:21:44.321522,,Max 3°C,Min -5°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
2,"Tuesday, 22 Jun",Mostly sunny. Winds northerly 15 to 20 km/h becoming light during the morning then becoming northerly 15 to 25 km/h during the evening.,,,,,,,2021-06-22 00:00:00,ThredboHandler,7-day,2021-06-19 23:21:44.321522,,Max 4°C,Min -4°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
3,"Wednesday, 23 Jun","Partly cloudy. Medium (50%) chance of showers, most likely later in the day. Snow possible above 1900 metres. Winds north to northwesterly 25 to 35 km/h.",,,,,,,2021-06-23 00:00:00,ThredboHandler,7-day,2021-06-19 23:21:44.321522,,Max 3°C,Min -3°C,,,,,,
4,"Thursday, 24 Jun",Cloudy. Very high (90%) chance of showers. Snow falling above 1700 metres. Winds north to northwesterly 25 to 35 km/h.,,,,,,,2021-06-24 00:00:00,ThredboHandler,7-day,2021-06-19 23:21:44.321522,,Max 2°C,Min 0°C,,,,,,
5,"Friday, 25 Jun",Cloudy. Very high (95%) chance of snow showers. Winds northwesterly 25 to 40 km/h.,,,,,,,2021-06-25 00:00:00,ThredboHandler,7-day,2021-06-19 23:21:44.321522,,Max 3°C,Min 0°C,,,,,,
0,"Tomorrow, 20 Jun",Partly cloudy. Slight (20%) chance of a snow shower. Winds southeasterly 30 to 45 km/h becoming light in the early afternoon then becoming easterly 15 to 20 km/h in the evening.,,,,,,,2021-06-20 00:00:00,ThredboHandler,7-day,2021-06-19 23:21:55.005079,,Max 1°C,Min -2°C,1800m 10%,1400m 10%,1000m 0%,10,10,0
1,"Monday, 21 Jun",Mostly sunny. Winds east to northeasterly 15 to 20 km/h becoming light before dawn.,,,,,,,2021-06-21 00:00:00,ThredboHandler,7-day,2021-06-19 23:21:55.005079,,Max 3°C,Min -5°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
2,"Tuesday, 22 Jun",Mostly sunny. Winds north to northwesterly 15 to 20 km/h becoming light during the day then becoming northerly 15 to 25 km/h during the evening.,,,,,,,2021-06-22 00:00:00,ThredboHandler,7-day,2021-06-19 23:21:55.005079,,Max 4°C,Min -5°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
3,"Wednesday, 23 Jun","Partly cloudy. Medium (50%) chance of rain, most likely in the evening, possibly falling as snow above 1900 metres. Winds northerly 20 to 25 km/h turning northwesterly 25 to 35 km/h during the morning then increasing to 30 to 45 km/h during the evening.",,,,,,,2021-06-23 00:00:00,ThredboHandler,7-day,2021-06-19 23:21:55.005079,,Max 2°C,Min -3°C,1800m 40%,1400m 0%,1000m 0%,40,0,0
4,"Thursday, 24 Jun",Cloudy. Very high (90%) chance of snow showers. Winds northwesterly 30 to 45 km/h tending northerly 35 to 55 km/h during the morning.,,,,,,,2021-06-24 00:00:00,ThredboHandler,7-day,2021-06-19 23:21:55.005079,,Max 1°C,Min 0°C,,,,,,
5,"Friday, 25 Jun",Partly cloudy. Very high (90%) chance of snow showers. Winds northerly 35 to 50 km/h tending northwesterly during the morning.,,,,,,,2021-06-25 00:00:00,ThredboHandler,7-day,2021-06-19 23:21:55.005079,,Max 2°C,Min -1°C,,,,,,
6,"Saturday, 26 Jun",Cloudy. High (80%) chance of snow showers. Winds northwesterly 30 to 45 km/h tending westerly 25 to 40 km/h during the day.,,,,,,,2021-06-26 00:00:00,ThredboHandler,7-day,2021-06-19 23:21:55.005079,,Max 1°C,Min -1°C,,,,,,
0,"Tomorrow, 20 Jun",Partly cloudy. Slight (20%) chance of a snow shower. Winds southeasterly 20 to 30 km/h becoming light in the early afternoon then becoming easterly 15 to 20 km/h in the evening.,,,,,,,2021-06-20 00:00:00,ThredboHandler,7-day,2021-06-20 10:05:31.048795,,Max 1°C,,1800m 10%,1400m 10%,1000m 0%,10,10,0
1,"Monday, 21 Jun",Mostly sunny. Winds east to northeasterly 15 to 20 km/h becoming light before dawn.,,,,,,,2021-06-21 00:00:00,ThredboHandler,7-day,2021-06-20 10:05:31.048795,,Max 3°C,Min -5°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
2,"Tuesday, 22 Jun",Mostly sunny. Winds north to northwesterly 15 to 20 km/h becoming light during the day then becoming northerly 15 to 25 km/h during the evening.,,,,,,,2021-06-22 00:00:00,ThredboHandler,7-day,2021-06-20 10:05:31.048795,,Max 4°C,Min -5°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
3,"Wednesday, 23 Jun","Partly cloudy. Medium (50%) chance of rain, most likely in the evening, possibly falling as snow above 1900 metres. Winds northerly 20 to 25 km/h turning northwesterly 25 to 35 km/h during the morning then increasing to 30 to 45 km/h during the evening.",,,,,,,2021-06-23 00:00:00,ThredboHandler,7-day,2021-06-20 10:05:31.048795,,Max 2°C,Min -3°C,1800m 40%,1400m 0%,1000m 0%,40,0,0
4,"Thursday, 24 Jun",Cloudy. Very high (90%) chance of snow showers. Winds northwesterly 30 to 45 km/h tending northerly 35 to 55 km/h during the morning.,,,,,,,2021-06-24 00:00:00,ThredboHandler,7-day,2021-06-20 10:05:31.048795,,Max 1°C,Min 0°C,,,,,,
5,"Friday, 25 Jun",Partly cloudy. Very high (90%) chance of snow showers. Winds northerly 35 to 50 km/h tending northwesterly during the morning.,,,,,,,2021-06-25 00:00:00,ThredboHandler,7-day,2021-06-20 10:05:31.048795,,Max 2°C,Min -1°C,,,,,,
6,"Saturday, 26 Jun",Cloudy. High (80%) chance of snow showers. Winds northwesterly 30 to 45 km/h tending westerly 25 to 40 km/h during the day.,,,,,,,2021-06-26 00:00:00,ThredboHandler,7-day,2021-06-20 10:05:31.048795,,Max 1°C,Min -1°C,,,,,,
0,"Tomorrow, 21 Jun",Mostly sunny. Winds east to northeasterly 15 to 20 km/h becoming light before dawn.,,,,,,,2021-06-21 00:00:00,ThredboHandler,7-day,2021-06-20 18:26:49.224034,,Max 3°C,Min -5°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
1,"Tuesday, 22 Jun",Mostly sunny. Winds north to northwesterly 15 to 20 km/h becoming light during the day then becoming northerly 15 to 25 km/h during the evening.,,,,,,,2021-06-22 00:00:00,ThredboHandler,7-day,2021-06-20 18:26:49.224034,,Max 4°C,Min -5°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
2,"Wednesday, 23 Jun","Partly cloudy. Medium (50%) chance of rain, most likely in the evening, possibly falling as snow above 1900 metres. Winds northerly 20 to 25 km/h turning northwesterly 25 to 35 km/h during the morning then increasing to 30 to 45 km/h during the evening.",,,,,,,2021-06-23 00:00:00,ThredboHandler,7-day,2021-06-20 18:26:49.224034,,Max 2°C,Min -3°C,1800m 40%,1400m 0%,1000m 0%,40,0,0
3,"Thursday, 24 Jun",Cloudy. Very high (90%) chance of snow showers. Winds northwesterly 30 to 45 km/h tending northerly 35 to 55 km/h during the morning.,,,,,,,2021-06-24 00:00:00,ThredboHandler,7-day,2021-06-20 18:26:49.224034,,Max 1°C,Min 0°C,,,,,,
4,"Friday, 25 Jun",Partly cloudy. Very high (90%) chance of snow showers. Winds northerly 35 to 50 km/h tending northwesterly during the morning.,,,,,,,2021-06-25 00:00:00,ThredboHandler,7-day,2021-06-20 18:26:49.224034,,Max 2°C,Min -1°C,,,,,,
5,"Saturday, 26 Jun",Cloudy. High (80%) chance of snow showers. Winds northwesterly 30 to 45 km/h tending westerly 25 to 40 km/h during the day.,,,,,,,2021-06-26 00:00:00,ThredboHandler,7-day,2021-06-20 18:26:49.224034,,Max 1°C,Min -1°C,,,,,,
0,"Tomorrow, 21 Jun",Mostly sunny. Winds east to northeasterly 15 to 20 km/h becoming light before dawn then becoming north to northeasterly 15 to 20 km/h in the late evening.,,,,,,,2021-06-21 00:00:00,ThredboHandler,7-day,2021-06-20 19:13:22.815074,,Max 3°C,Min -5°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
1,"Tuesday, 22 Jun",Mostly sunny. Winds northerly 15 to 20 km/h becoming light before dawn then becoming northerly 25 to 35 km/h in the evening.,,,,,,,2021-06-22 00:00:00,ThredboHandler,7-day,2021-06-20 19:13:22.815074,,Max 3°C,Min -5°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
2,"Wednesday, 23 Jun","Cloudy. Very high (90%) chance of showers, most likely in the afternoon or evening, possibly falling as snow above 1900 metres. Winds northwesterly 45 to 65 km/h.",,,,,,,2021-06-23 00:00:00,ThredboHandler,7-day,2021-06-20 19:13:22.815074,,Max 2°C,Min -2°C,1800m 40%,1400m 0%,1000m 0%,40,0,0
3,"Thursday, 24 Jun",Cloudy. Very high (near 100%) chance of showers or snow. Winds northwesterly 40 to 60 km/h decreasing to 25 to 40 km/h during the evening.,,,,,,,2021-06-24 00:00:00,ThredboHandler,7-day,2021-06-20 19:13:22.815074,,Max 2°C,Min 1°C,,,,,,
4,"Friday, 25 Jun",Cloudy. Very high (95%) chance of snow showers and the chance of a thunderstorm. Winds northwesterly 40 to 60 km/h.,,,,,,,2021-06-25 00:00:00,ThredboHandler,7-day,2021-06-20 19:13:22.815074,,Max 0°C,Min -1°C,,,,,,
5,"Saturday, 26 Jun",Cloudy. Very high (90%) chance of snow showers. Winds northwesterly 35 to 55 km/h turning westerly 25 to 35 km/h during the morning.,,,,,,,2021-06-26 00:00:00,ThredboHandler,7-day,2021-06-20 19:13:22.815074,,Max 0°C,Min -1°C,,,,,,
6,"Sunday, 27 Jun",Partly cloudy. Medium (40%) chance of showers or snow. Winds westerly 25 to 35 km/h turning south to southwesterly 15 to 25 km/h during the day.,,,,,,,2021-06-27 00:00:00,ThredboHandler,7-day,2021-06-20 19:13:22.815074,,Max 0°C,Min -3°C,,,,,,
0,"Tomorrow, 21 Jun",Mostly sunny. Winds east to northeasterly 15 to 20 km/h becoming light before dawn then becoming north to northeasterly 15 to 20 km/h in the late evening.,,,,,,,2021-06-21 00:00:00,ThredboHandler,7-day,2021-06-20 19:43:43.814383,,Max 3°C,Min -5°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
1,"Tuesday, 22 Jun",Mostly sunny. Winds northerly 15 to 20 km/h becoming light before dawn then becoming northerly 25 to 35 km/h in the evening.,,,,,,,2021-06-22 00:00:00,ThredboHandler,7-day,2021-06-20 19:43:43.814383,,Max 3°C,Min -5°C,1800m 0%,1400m 0%,1000m 0%,0,0,0
2,"Wednesday, 23 Jun","Cloudy. Very high (90%) chance of showers, most likely in the afternoon or evening, possibly falling as snow above 1900 metres. Winds northwesterly 45 to 65 km/h.",,,,,,,2021-06-23 00:00:00,ThredboHandler,7-day,2021-06-20 19:43:43.814383,,Max 2°C,Min -2°C,1800m 50%,1400m 10%,1000m 0%,50,10,0
3,"Thursday, 24 Jun",Cloudy. Very high (near 100%) chance of showers or snow. Winds northwesterly 40 to 60 km/h decreasing to 25 to 40 km/h during the evening.,,,,,,,2021-06-24 00:00:00,ThredboHandler,7-day,2021-06-20 19:43:43.814383,,Max 2°C,Min 1°C,1800m 70%,1400m 10%,1000m 0%,70,10,0
4,"Friday, 25 Jun",Cloudy. Very high (95%) chance of snow showers and the chance of a thunderstorm. Winds northwesterly 40 to 60 km/h.,,,,,,,2021-06-25 00:00:00,ThredboHandler,7-day,2021-06-20 19:43:43.814383,,Max 0°C,Min -1°C,,,,,,
5,"Saturday, 26 Jun",Cloudy. Very high (90%) chance of snow showers. Winds northwesterly 35 to 55 km/h turning westerly 25 to 35 km/h during the morning.,,,,,,,2021-06-26 00:00:00,ThredboHandler,7-day,2021-06-20 19:43:43.814383,,Max 0°C,Min -1°C,,,,,,
6,"Sunday, 27 Jun",Partly cloudy. Medium (40%) chance of showers or snow. Winds westerly 25 to 35 km/h turning south to southwesterly 15 to 25 km/h during the day.,,,,,,,2021-06-27 00:00:00,ThredboHandler,7-day,2021-06-20 19:43:43.814383,,Max 0°C,Min -3°C,,,,,,
